x,y,val
0,0,0.06779661016949153
0,1,0.5423728813559322
0,2,0.576271186440678
0,3,0.5573770491803278
0,4,0.5737704918032787
0,5,0.5737704918032787
0,6,0.5901639344262295
0,7,0.55
0,8,0.576271186440678
0,9,0.5666666666666667
0,10,0.5084745762711864
0,11,0.559322033898305
0,12,0.55
0,13,0.5737704918032787
0,14,0.5666666666666667
0,15,0.6065573770491803
0,16,0.5333333333333333
0,17,0.5833333333333334
1,0,0.559322033898305
1,1,0.08771929824561403
1,2,0.576271186440678
1,3,0.5573770491803278
1,4,0.5737704918032787
1,5,0.5901639344262295
1,6,0.5901639344262295
1,7,0.5833333333333334
1,8,0.6101694915254238
1,9,0.6166666666666667
1,10,0.5423728813559322
1,11,0.5689655172413793
1,12,0.55
1,13,0.5737704918032787
1,14,0.5666666666666667
1,15,0.5409836065573771
1,16,0.55
1,17,0.5833333333333334
2,0,0.559322033898305
2,1,0.576271186440678
2,2,0.1016949152542373
2,3,0.5573770491803278
2,4,0.5901639344262295
2,5,0.5737704918032787
2,6,0.5901639344262295
2,7,0.5333333333333333
2,8,0.559322033898305
2,9,0.5833333333333334
2,10,0.576271186440678
2,11,0.5932203389830508
2,12,0.5666666666666667
2,13,0.5737704918032787
2,14,0.6
2,15,0.5737704918032787
2,16,0.55
2,17,0.5833333333333334
3,0,0.5573770491803278
3,1,0.5573770491803278
3,2,0.5573770491803278
3,3,0.08196721311475409
3,4,0.5409836065573771
3,5,0.5409836065573771
3,6,0.5409836065573771
3,7,0.5409836065573771
3,8,0.5901639344262295
3,9,0.5409836065573771
3,10,0.5737704918032787
3,11,0.5901639344262295
3,12,0.5573770491803278
3,13,0.5409836065573771
3,14,0.5081967213114754
3,15,0.5081967213114754
3,16,0.5245901639344263
3,17,0.5245901639344263
4,0,0.5737704918032787
4,1,0.5573770491803278
4,2,0.5901639344262295
4,3,0.5409836065573771
4,4,0.08196721311475409
4,5,0.5409836065573771
4,6,0.5409836065573771
4,7,0.5573770491803278
4,8,0.5737704918032787
4,9,0.5573770491803278
4,10,0.5737704918032787
4,11,0.5737704918032787
4,12,0.5737704918032787
4,13,0.5245901639344263
4,14,0.5573770491803278
4,15,0.5245901639344263
4,16,0.5573770491803278
4,17,0.5737704918032787
5,0,0.5409836065573771
5,1,0.5901639344262295
5,2,0.5737704918032787
5,3,0.5409836065573771
5,4,0.5409836065573771
5,5,0.09836065573770492
5,6,0.5409836065573771
5,7,0.5737704918032787
5,8,0.6065573770491803
5,9,0.5901639344262295
5,10,0.5901639344262295
5,11,0.5901639344262295
5,12,0.5573770491803278
5,13,0.5573770491803278
5,14,0.5573770491803278
5,15,0.5409836065573771
5,16,0.5737704918032787
5,17,0.5901639344262295
6,0,0.5901639344262295
6,1,0.5901639344262295
6,2,0.5901639344262295
6,3,0.5409836065573771
6,4,0.5737704918032787
6,5,0.5901639344262295
6,6,0.08196721311475409
6,7,0.5737704918032787
6,8,0.5901639344262295
6,9,0.5737704918032787
6,10,0.5901639344262295
6,11,0.5737704918032787
6,12,0.5573770491803278
6,13,0.5573770491803278
6,14,0.5737704918032787
6,15,0.5409836065573771
6,16,0.5573770491803278
6,17,0.5737704918032787
7,0,0.5666666666666667
7,1,0.5833333333333334
7,2,0.5333333333333333
7,3,0.5409836065573771
7,4,0.5573770491803278
7,5,0.5737704918032787
7,6,0.5737704918032787
7,7,0.1
7,8,0.5833333333333334
7,9,0.5833333333333334
7,10,0.55
7,11,0.5666666666666667
7,12,0.5666666666666667
7,13,0.5737704918032787
7,14,0.5833333333333334
7,15,0.5573770491803278
7,16,0.5666666666666667
7,17,0.5666666666666667
8,0,0.559322033898305
8,1,0.6101694915254238
8,2,0.5932203389830508
8,3,0.6065573770491803
8,4,0.5737704918032787
8,5,0.5737704918032787
8,6,0.5901639344262295
8,7,0.5833333333333334
8,8,0.0847457627118644
8,9,0.5666666666666667
8,10,0.576271186440678
8,11,0.6101694915254238
8,12,0.6
8,13,0.6065573770491803
8,14,0.5833333333333334
8,15,0.5737704918032787
8,16,0.5666666666666667
