x,y,val
0,0,0.7108433734939759
0,1,0.6904761904761905
0,2,0.7023809523809523
0,3,0.6785714285714286
0,4,0.6941176470588235
0,5,0.7108433734939759
0,6,0.7037037037037037
0,7,0.7023809523809523
0,8,0.7037037037037037
0,9,0.6785714285714286
0,10,0.7058823529411765
0,11,0.6987951807228916
0,12,0.6705882352941176
0,13,0.7073170731707317
1,0,0.7228915662650602
1,1,0.7142857142857143
1,2,0.7380952380952381
1,3,0.7142857142857143
1,4,0.7058823529411765
1,5,0.7228915662650602
1,6,0.7037037037037037
1,7,0.7380952380952381
1,8,0.7283950617283951
1,9,0.7023809523809523
1,10,0.7058823529411765
1,11,0.7228915662650602
1,12,0.6941176470588235
1,13,0.7195121951219512
2,0,0.7228915662650602
2,1,0.7142857142857143
2,2,0.7023809523809523
2,3,0.7023809523809523
2,4,0.7058823529411765
2,5,0.7228915662650602
2,6,0.7037037037037037
2,7,0.6904761904761905
2,8,0.7037037037037037
2,9,0.7142857142857143
2,10,0.6941176470588235
2,11,0.7108433734939759
2,12,0.6823529411764706
2,13,0.6829268292682927
3,0,0.6626506024096386
3,1,0.6666666666666666
3,2,0.6785714285714286
3,3,0.6666666666666666
3,4,0.6705882352941176
3,5,0.6626506024096386
3,6,0.6666666666666666
3,7,0.6904761904761905
3,8,0.6790123456790124
3,9,0.6666666666666666
3,10,0.6588235294117647
3,11,0.6746987951807228
3,12,0.6705882352941176
3,13,0.6829268292682927
4,0,0.6987951807228916
4,1,0.6904761904761905
4,2,0.6904761904761905
4,3,0.6904761904761905
4,4,0.6823529411764706
4,5,0.6746987951807228
4,6,0.691358024691358
4,7,0.7023809523809523
4,8,0.691358024691358
4,9,0.6785714285714286
4,10,0.6941176470588235
4,11,0.6987951807228916
4,12,0.6941176470588235
4,13,0.6951219512195121
5,0,0.6867469879518072
5,1,0.6904761904761905
5,2,0.6904761904761905
5,3,0.6904761904761905
5,4,0.6823529411764706
5,5,0.6987951807228916
5,6,0.6790123456790124
5,7,0.7023809523809523
5,8,0.7037037037037037
5,9,0.6904761904761905
5,10,0.7058823529411765
5,11,0.6867469879518072
5,12,0.6941176470588235
5,13,0.7073170731707317
6,0,0.6987951807228916
6,1,0.6904761904761905
6,2,0.6785714285714286
6,3,0.6904761904761905
6,4,0.6941176470588235
6,5,0.6746987951807228
6,6,0.6790123456790124
6,7,0.6904761904761905
6,8,0.7037037037037037
6,9,0.6785714285714286
6,10,0.6941176470588235
6,11,0.7108433734939759
6,12,0.6823529411764706
6,13,0.7073170731707317
7,0,0.6867469879518072
7,1,0.7023809523809523
7,2,0.7023809523809523
7,3,0.7142857142857143
7,4,0.6941176470588235
7,5,0.6987951807228916
7,6,0.691358024691358
7,7,0.7023809523809523
7,8,0.7160493827160493
7,9,0.7023809523809523
7,10,0.7176470588235294
7,11,0.7108433734939759
7,12,0.6823529411764706
7,13,0.7195121951219512
8,0,0.7228915662650602
8,1,0.7023809523809523
8,2,0.7023809523809523
8,3,0.7142857142857143
8,4,0.7058823529411765
8,5,0.6867469879518072
8,6,0.7160493827160493
8,7,0.7380952380952381
8,8,0.691358024691358
8,9,0.7142857142857143
8,10,0.7176470588235294
8,11,0.7349397590361446
8,12,0.6705882352941176
8,13,0.7073170731707317
9,0,0.7108433734939759
9,1,0.6904761904761905
9,2,0.6666666666666666
9,3,0.7023809523809523
9,4,0.6941176470588235
9,5,0.6867469879518072
9,6,0.691358024691358
9,7,0.6904761904761905
9,8,0.691358024691358
9,9,0.6904761904761905
9,10,0.6941176470588235
9,11,0.6987951807228916
9,12,0.6823529411764706
9,13,0.7073170731707317
10,0,0.7108433734939759
10,1,0.6904761904761905
10,2,0.7142857142857143
10,3,0.6904761904761905
10,4,0.6941176470588235
10,5,0.6987951807228916
10,6,0.7037037037037037
10,7,0.7142857142857143
10,8,0.7283950617283951
10,9,0.7023809523809523
10,10,0.7058823529411765
10,11,0.7108433734939759
10,12,0.6823529411764706
10,13,0.7195121951219512
11,0,0.7228915662650602
11,1,0.7261904761904762
11,2,0.7142857142857143
11,3,0.7023809523809523
11,4,0.7176470588235294
11,5,0.7108433734939759
11,6,0.7037037037037037
11,7,0.7023809523809523
11,8,0.7283950617283951
11,9,0.7142857142857143
11,10,0.7176470588235294
11,11,0.7108433734939759
11,12,0.6941176470588235
11,13,0.7195121951219512
12,0,0.6987951807228916
12,1,0.7023809523809523
12,2,0.6785714285714286
12,3,0.7023809523809523
12,4,0.7058823529411765
12,5,0.6987951807228916
12,6,0.6666666666666666
12,7,0.6904761904761905
12,8,0.7037037037037037
12,9,0.6785714285714286
12,10,0.7176470588235294
12,11,0.6987951807228916
12,12,0.6705882352941176
12,13,0.7073170731707317
13,0,0.6987951807228916
13,1,0.6785714285714286
13,2,0.6785714285714286
13,3,0.6904761904761905
13,4,0.6823529411764706
13,5,0.6987951807228916
13,6,0.654320987654321
13,7,0.7023809523809523
13,8,0.7037037037037037
13,9,0.6785714285714286
13,10,0.6705882352941176
13,11,0.6867469879518072
13,12,0.6823529411764706
13,13,0.7073170731707317
14,0,0.7108433734939759
14,1,0.6904761904761905
14,2,0.6904761904761905
14,3,0.6904761904761905
14,4,0.7058823529411765
14,5,0.6867469879518072
14,6,0.691358024691358
14,7,0.7023809523809523
14,8,0.7037037037037037
14,9,0.7023809523809523
14,10,0.6941176470588235
14,11,0.6867469879518072
14,12,0.6823529411764706
14,13,0.6951219512195121
15,0,0.6867469879518072
15,1,0.6547619047619048
15,2,0.6785714285714286
15,3,0.6785714285714286
15,4,0.6941176470588235
15,5,0.6746987951807228
15,6,0.6666666666666666
15,7,0.6785714285714286
15,8,0.7037037037037037
15,9,0.7023809523809523
15,10,0.6823529411764706
15,11,0.6867469879518072
15,12,0.6823529411764706
15,13,0.7195121951219512
16,0,0.6867469879518072
16,1,0.6785714285714286
16,2,0.6785714285714286
16,3,0.6904761904761905
16,4,0.6823529411764706
16,5,0.6867469879518072
16,6,0.6419753086419753
16,7,0.7023809523809523
16,8,0.7037037037037037
16,9,0.6666666666666666
16,10,0.6823529411764706
16,11,0.6987951807228916
16,12,0.6823529411764706
16,13,0.6951219512195121
17,0,0.6987951807228916
17,1,0.6904761904761905
17,2,0.6904761904761905
17,3,0.6785714285714286
17,4,0.6941176470588235
17,5,0.6987951807228916
17,6,0.6666666666666666
17,7,0.7023809523809523
17,8,0.7283950617283951
17,9,0.6785714285714286
17,10,0.6941176470588235
17,11,0.6867469879518072
17,12,0.6823529411764706
17,13,0.7195121951219512
