src,dst,val
H,T,-7.60222559363427
H,U,-3.602939403835292
H,V,-13.815510557964274
H,W,-13.815510557964274
H,X,-13.815510557964274
H,Y,-4.810899390595703
H,Z,-13.815510557964274
I, ,-2.1643825959958463
I,A,-4.6638916905556425
I,B,-5.111099426077797
I,C,-4.191101006522548
I,D,-4.4697543906402855
I,E,-2.243697619685315
I,F,-4.842714215458311
I,G,-4.21305431801138
I,H,-13.815510557964274
I,I,-7.922821326907468
I,J,-8.929604656896526
I,K,-13.815510557964274
I,L,-2.2864117053383843
I,M,-3.7795243181968017
I,N,-2.308473006473123
I,O,-3.4823662770596395
I,P,-6.212107220210617
I,Q,-4.633017676428411
I,R,-2.5961517259129208
I,S,-1.9283345364466813
I,T,-1.565534298003584
I,U,-8.929604656896526
I,V,-4.186767591083946
I,W,-13.815510557964274
I,X,-5.874607635643335
I,Y,-13.815510557964274
I,Z,-7.580678055295121
J, ,-1.9882216398069774
J,A,-2.024469160642669
J,B,-13.815510557964274
J,C,-13.815510557964274
J,D,-13.815510557964274
J,E,-0.8567200858709945
J,F,-13.815510557964274
J,G,-13.815510557964274
J,H,-13.815510557964274
J,I,-13.815510557964274
J,J,-13.815510557964274
J,K,-13.815510557964274
J,L,-13.815510557964274
J,M,-13.815510557964274
J,N,-13.815510557964274
J,O,-1.4553146018522574
J,P,-13.815510557964274
J,Q,-13.815510557964274
J,R,-13.815510557964274
J,S,-13.815510557964274
J,T,-13.815510557964274
J,U,-2.6156110697024118
J,V,-13.815510557964274
J,W,-13.815510557964274
J,X,-13.815510557964274
J,Y,-13.815510557964274
J,Z,-13.815510557964274
K, ,-2.0794335417118357
K,A,-2.4848946498599997
K,B,-13.815510557964274
K,C,-13.815510557964274
K,D,-13.815510557964274
K,E,-1.0986092886726098
K,F,-13.815510557964274
K,G,-13.815510557964274
K,H,-13.815510557964274
K,I,-1.5686111179253652
K,J,-13.815510557964274
K,K,-13.815510557964274
K,L,-13.815510557964274
K,M,-13.815510557964274
K,N,-13.815510557964274
K,O,-3.178029830635941
K,P,-13.815510557964274
K,Q,-13.815510557964274
K,R,-3.178029830635941
K,S,-3.178029830635941
K,T,-13.815510557964274
K,U,-3.178029830635941
K,V,-13.815510557964274
K,W,-13.815510557964274
K,X,-13.815510557964274
K,Y,-2.4848946498599997
K,Z,-13.815510557964274
L, ,-1.821807006068137
L,A,-1.769031428934425
L,B,-5.696345133451853
L,C,-7.520687888225702
L,D,-8.298667378429139
L,E,-1.0723254172930976
L,F,-8.393575787587496
L,G,-6.293328916068881
L,H,-6.510262290240291
L,I,-3.019931343160201
L,J,-13.815510557964274
L,K,-10.657163937897554
L,L,-2.0418888019473376
L,M,-6.961863486176368
L,N,-10.657163937897554
L,O,-3.4685468385597824
L,P,-6.915391453457152
L,Q,-4.606919310687399
L,R,-13.815510557964274
L,S,-4.257978424870348
L,T,-5.981694200157057
L,U,-2.5527092889605454
L,V,-8.132231717822414
L,W,-13.815510557964274
L,X,-13.815510557964274
L,Y,-6.692449455534345
L,Z,-9.587291335917374
M, ,-3.4027999865178957
M,A,-1.637137665719757
M,B,-3.2186469358939918
M,C,-13.815510557964274
M,D,-13.815510557964274
M,E,-1.0099579948768047
M,F,-13.815510557964274
M,G,-13.815510557964274
M,H,-13.815510557964274
M,I,-2.7893519208194566
M,J,-13.815510557964274
M,K,-13.815510557964274
M,L,-6.4690131752586275
M,M,-2.302983002492108
M,N,-6.928169414581724
M,O,-2.1403023896010067
M,P,-2.6974875934643627
M,Q,-13.815510557964274
M,R,-13.815510557964274
M,S,-6.672466530473197
M,T,-6.970684655031614
M,U,-4.246388311474349
M,V,-13.815510557964274
M,W,-13.815510557964274
M,X,-13.815510557964274
M,Y,-5.995968639430899
M,Z,-13.815510557964274
N, ,-1.428990224580082
N,A,-3.3071495456589237
N,B,-10.191391275741925
N,C,-2.99401688214015
N,D,-2.709075739924437
N,E,-2.02778674325927
N,F,-4.9660091298674995
N,G,-4.259930520844348
N,H,-6.54143183058386
N,I,-3.718597773367241
N,J,-7.864444306901573
N,K,-10.191391275741925
N,L,-7.731238350165433
N,M,-9.511670111131044
N,N,-3.1068915532407932
N,O,-3.250491016303443
N,P,-13.815510557964274
N,Q,-5.913990679223624
N,R,-7.0186350187564575
N,S,-2.386599396820421
N,T,-1.4882968142361401
N,U,-4.298115419888045
N,V,-4.780227573966645
N,W,-13.815510557964274
N,X,-7.864444306901573
N,Y,-8.018161236892071
N,Z,-8.199875859814396
O, ,-5.8812659888169225
O,A,-8.964813089909262
O,B,-4.5609856496467165
O,C,-4.13473634370154
O,D,-4.048258544147943
O,E,-4.8882398139441365
O,F,-5.314043331552841
O,G,-5.6189844037313685
O,H,-6.843496860420974
O,I,-2.1877484047373525
O,J,-7.361653178476337
O,K,-10.543438929813512
O,L,-3.8262898663177287
O,M,-2.479809117775144
O,N,-1.3495098448580558
O,O,-8.180631906321388
O,P,-4.446454462701674
O,Q,-5.863253880879549
O,R,-2.6092803078307663
O,S,-3.497845214495774
O,T,-3.5104978516160488
O,U,-1.2218764662428707
O,V,-6.422605803217578
